分類,コース名,講師,バッジ,評価,レビュー数,受講生数,最終更新,言語,要約,URL,ターゲット(推定),商品コンセプト(推定)
Claude Code,Claude Code ハンズオン入門,神草 経知,Highest Rated,4.3,57,744,2025-09,Japanese,最先端AIエージェントをブラウザから操る！,https://www.udemy.com/course/claude-code/,Claude Codeを初めて触る開発者/学習者,短時間で基本操作をハンズオンで体験し、AIエージェント活用の入口を作る入門コース
Claude Code,〖バイブコーディング〗ゲーム~フルスタックWebサービスまで！4つのサービスを作って学ぶ、実践Claude Code入門,くるしば （アウトプットプログラミング学習）,Bestseller,4.6,9,176,2025-09,Japanese,日本語指示でゲーム/ポートフォリオ/ホワイトボード/TODOを作りながら学ぶ,https://www.udemy.com/course/claude-code-vive-coding/,初心者〜初級の学習者（成果物を作りながら学びたい）,日本語指示で4つのミニプロダクトを作り、Vibe Codingの開発フローを体得する実践入門
Claude Code,Everything Claude Codeハンズオン,神草 経知,"Hot & New, New",4.0,9,123,2026-02,Japanese,Anthropicハッカソン優勝者に学ぶEverything Claude Code活用術,https://www.udemy.com/course/everything-claude-code/,Claude Codeを実務で使いたい開発者（入門後〜中級）,ハッカソン実践のノウハウをベースに、Claude Codeの活用パターンを広く学ぶ
Claude Code,〖Claude Code入門〗実用的なWebアプリケーション開発を通して学ぶClaude Code入門徹底講座,Shin Code,"Bestseller, Highest Rated",4.4,158,"1,905",2025-09,Japanese,動画講座プラットフォームを作りながらClaude Code入門,https://www.udemy.com/course/claude-code-vibe-coding-tutorial/,Webアプリ開発経験者（プロジェクトでClaude Codeを使いたい）,実用Webアプリ（動画講座プラットフォーム）を作りながら、Claude Codeの使い方を一通り学ぶ
Claude Code,〖Claude Codeでバイブコーディング〗プログラミング未経験OK！はじめての AI 駆動開発でWebアプリを開発,とまだ Tomada,Bestseller,4.4,51,701,2026-01,Japanese,React/Next.jsで5つのWebアプリを作りながら学ぶ（デプロイまで）,https://www.udemy.com/course/claude-code-vibe-coding/,プログラミング未経験〜初学者,React/Next.jsで5つのWebアプリを作り、AI駆動開発からデプロイまで一気通貫で体験
Claude Code,〖Claude Code〗プログラミング未経験OK！Stripe サブスク型家計簿アプリで学ぶAI駆動開発マスター講座,とまだ Tomada,,4.6,13,229,2026-01,Japanese,Stripe決済・Clerk認証・Supabase統合で収益化可能なSaaS家計簿を作る,https://www.udemy.com/course/claude-code-expenses-app/,未経験〜初級の個人開発者（収益化SaaSに興味がある）,Stripe決済などの実装を含むサブスク家計簿SaaSを作り、AI駆動開発を実践で習得
Claude Code,〖Claude Code〗Next.js で作るサブスク型・作業時間管理アプリで学ぶ AI 駆動開発〖完全版〗,とまだ Tomada,,4.6,5,154,2026-01,Japanese,Clerk Billing/Stripe連携の時間管理SaaS（分析・PDF出力まで）を実装,https://www.udemy.com/course/claude-code-project-tracker/,Webアプリを作り込んだ実装を学びたい人（初級後〜中級）,課金・分析・PDF出力まで備えた時間管理SaaSを実装し、実務寄りのAI駆動開発を学ぶ
Claude Code,〖Claude Code カスタマイズ完全ガイド〗6つの拡張機能を使いこなして開発効率アップ！一歩先のAI駆動開発へ,とまだ Tomada,"Bestseller, Highest Rated",4.8,18,198,2026-01,Japanese,CLAUDE.md/rules/カスタムコマンド/サブエージェント/Skills/Hooksを使い分け,https://www.udemy.com/course/claude-code-perfect-guide/,Claude Code利用者（設定/拡張で生産性を上げたい）,CLAUDE.md等の設定やサブエージェント等の拡張を整理し、チーム/個人で再現性ある運用へ
Claude Code,〖Claude Code × MCP完全攻略〗Next.jsアプリ開発を劇的に効率化する5つの最新MCPツール実践ガイド,とまだ Tomada,"Bestseller, Highest Rated",4.5,11,241,2026-01,Japanese,Serena/Context7/Playwright/Sequential Thinking/SupabaseでMCPを実践,https://www.udemy.com/course/claude-code-mcp-nextjs/,MCPで開発を加速したいNext.js開発者（中級〜）,複数のMCPツールを組み合わせ、Next.js開発の調査・実装・テストを効率化する実践ガイド
Claude Code,〖Claude Code〗FlaskとGeminiで作る Python AI アプリ！実践レベルのAI駆動開発を学ぼう,とまだ Tomada,,4.4,5,64,2026-01,Japanese,Flask×Gemini×TDDで自動レビュー＆バグ診断ツールを開発,https://www.udemy.com/course/claude-code-flask/,Python/FlaskでAIアプリを作りたい開発者,Flask×Gemini×TDDでツール開発を行い、PythonでのAI駆動開発プロセスを体得
